c1,c2,a1,a2,same,token_diff
1,67,0,0,1,152
1,68,0,0,1,167
1,69,0,0,1,21
1,70,0,0,1,146
1,71,0,0,1,423
1,72,0,0,1,245
1,73,0,0,1,151
1,74,0,0,1,212
1,75,0,0,1,232
2,76,1,1,1,60
2,77,1,1,1,80
2,78,1,1,1,235
2,79,1,1,1,124
2,80,1,1,1,319
2,81,1,1,1,435
2,82,1,1,1,37
2,83,1,1,1,1273
2,84,1,1,1,9
3,85,2,2,1,49
3,86,2,2,1,47
3,87,2,2,1,392
3,88,2,2,1,124
3,89,2,2,1,16
3,90,2,2,1,121
3,91,2,2,1,54
3,92,2,2,1,301
3,93,2,2,1,72
4,94,3,3,1,18
4,95,3,3,1,136
4,96,3,3,1,79
4,97,3,3,1,470
4,98,3,3,1,135
4,99,3,3,1,126
4,100,3,3,1,113
4,101,3,3,1,192
4,102,3,3,1,89
5,103,4,4,1,829
5,104,4,4,1,836
5,105,4,4,1,18
5,106,4,4,1,718
5,107,4,4,1,631
5,108,4,4,1,650
5,109,4,4,1,56
5,110,4,4,1,56
5,111,4,4,1,889
6,112,5,5,1,67
6,113,5,5,1,436
6,114,5,5,1,118
6,115,5,5,1,251
6,116,5,5,1,154
6,117,5,5,1,177
6,118,5,5,1,144
6,119,5,5,1,981
6,120,5,5,1,162
7,121,6,6,1,37
7,122,6,6,1,10
7,123,6,6,1,611
7,124,6,6,1,272
7,125,6,6,1,200
7,126,6,6,1,81
7,127,6,6,1,248
7,128,6,6,1,373
7,129,6,6,1,107
8,130,7,7,1,74
8,131,7,7,1,155
8,132,7,7,1,117
8,133,7,7,1,240
8,134,7,7,1,124
8,135,7,7,1,119
8,136,7,7,1,1
8,137,7,7,1,768
8,138,7,7,1,139
9,139,8,8,1,2
9,140,8,8,1,0
9,141,8,8,1,103
9,142,8,8,1,43
9,143,8,8,1,142
9,144,8,8,1,45
9,145,8,8,1,104
9,146,8,8,1,442
9,147,8,8,1,77
10,148,9,9,1,3
10,149,9,9,1,41
10,150,9,9,1,6
10,151,9,9,1,25
